iter	Passed	Remaining
1141	43469	146852
1142	43507	146815
1143	43538	146750
1144	43576	146713
1145	43610	146663
1146	43649	146628
1147	43684	146578
1148	43722	146539
1149	43765	146518
1150	43811	146507
1151	43862	146512
1152	43912	146515
1153	43957	146500
1154	44001	146480
1155	44045	146461
1156	44084	146426
1157	44118	146374
1158	44150	146318
1159	44189	146283
1160	44233	146264
1161	44270	146222
1162	44311	146195
1163	44355	146173
1164	44396	146146
1165	44441	146132
1166	44486	146116
1167	44532	146103
1168	44575	146079
1169	44617	146056
1170	44661	146036
1171	44700	146000
1172	44734	145949
1173	44766	145890
1174	44801	145844
1175	44838	145802
1176	44874	145755
1177	44921	145746
1178	44965	145726
1179	45007	145700
1180	45051	145682
1181	45087	145638
1182	45123	145592
1183	45160	145549
1184	45200	145520
1185	45244	145499
1186	45284	145468
1187	45326	145440
1188	45371	145423
1189	45408	145384
1190	45462	145396
1191	45507	145380
1192	45540	145326
1193	45582	145298
1194	45621	145263
1195	45666	145245
1196	45709	145222
1197	45756	145212
1198	45795	145178
1199	45836	145148
1200	45878	145123
1201	45918	145090
1202	45953	145040
1203	45992	145005
1204	46029	144964
1205	46073	144945
1206	46119	144929
1207	46169	144929
1208	46213	144908
1209	46254	144879
1210	46299	144861
1211	46340	144832
1212	46376	144788
1213	46415	144751
1214	46449	144699
1215	46504	144714
1216	46536	144655
1217	46571	144609
1218	46612	144578
1219	46654	144553
1220	46695	144523
1221	46730	144473
1222	46767	144431
1223	46805	144394
1224	46849	144372
1225	46891	144345
1226	46935	144325
1227	46974	144289
1228	47011	144247
1229	47044	144194
1230	47078	144140
1231	47112	144089
1232	47156	144069
1233	47190	144018
1234	47227	143976
1235	47267	143944
1236	47311	143924
1237	47344	143869
1238	47387	143845
1239	47420	143790
1240	47458	143752
1241	47500	143725
1242	47534	143673
1243	47580	143660
1244	47622	143632
1245	47663	143601
1246	47710	143590
1247	47754	143568
1248	47794	143535
1249	47841	143524
1250	47894	143529
1251	47937	143507
1252	47978	143476
1253	48014	143431
1254	48046	143372
1255	48077	143313
1256	48109	143257
1257	48140	143195
1258	48179	143160
1259	48222	143137
1260	48262	143102
1261	48296	143052
1262	48330	143002
1263	48366	142956
1264	48408	142929
1265	48448	142895
1266	48479	142836
1267	48515	142790
1268	48553	142752
1269	48589	142706
1270	48633	142686
1271	48670	142645
1272	48710	142612
1273	48752	142582
1274	48788	142537
1275	48823	142491
1276	48859	142445
1277	48891	142388
1278	48937	142373
1279	48977	142340
1280	49014	142298
1281	49059	142280
1282	49102	142255
1283	49143	142226
1284	49180	142184
1285	49219	142148
1286	49261	142120
1287	49299	142081
1288	49343	142058
1289	49385	142030
1290	49427	142002
1291	49462	141956
1292	49495	141902
1293	49536	141872
1294	49575	141835
1295	49616	141804
1296	49649	141753
1297	49688	141715
1298	49729	141684
1299	49771	141656
1300	49809	141617
1301	49846	141577
1302	49877	141518
1303	49911	141466
1304	49947	141423
1305	49985	141383
1306	50022	141340
1307	50058	141295
1308	50098	141264
1309	50142	141239
1310	50182	141207
1311	50220	141168
1312	50258	141130
1313	50298	141095
1314	50343	141075
1315	50387	141053
1316	50429	141027
1317	50469	140994
1318	50509	140959
1319	50547	140919
1320	50587	140886
1321	50626	140851
1322	50664	140810
1323	50698	140762
1324	50734	140717
1325	50781	140701
1326	50819	140661
1327	50855	140619
1328	50888	140564
1329	50927	140528
1330	50965	140489
1331	51005	140456
1332	51041	140412
1333	51077	140368
1334	51110	140315
1335	51150	140281
1336	51183	140229
1337	51219	140182
1338	51254	140137
1339	51294	140103
1340	51337	140076
1341	51373	140033
1342	51408	139985
1343	51448	139951
1344	51488	139917
1345	51530	139889
1346	51567	139849
1347	51610	139823
1348	51650	139790
1349	51688	139751
1350	51730	139723
1351	51779	139712
1352	51811	139658
1353	51850	139620
1354	51892	139593
1355	51929	139550
1356	51965	139505
1357	52000	139460
1358	52040	139424
1359	52082	139397
1360	52125	139371
1361	52165	139338
1362	52201	139293
1363	52242	139263
1364	52283	139231
1365	52318	139182
1366	52351	139130
1367	52388	139088
1368	52429	139059
1369	52474	139039
1370	52515	139006
1371	52549	138956
1372	52585	138912
1373	52625	138878
1374	52662	138838
1375	52700	138797
1376	52736	138753
1377	52778	138725
1378	52815	138683
1379	52853	138644
1380	52890	138603
1381	52927	138562
1382	52965	138523
1383	53009	138498
1384	53052	138473
1385	53089	138431
1386	53127	138392
1387	53161	138341
1388	53196	138296
1389	53231	138248
1390	53289	138261
1391	53325	138217
1392	53363	138178
1393	53403	138143
1394	53447	138119
1395	53484	138078
1396	53519	138032
1397	53553	137981
1398	53592	137945
1399	53629	137904
1400	53672	137878
1401	53708	137833
1402	53750	137804
1403	53792	137776
1404	53835	137750
1405	53883	137736
1406	53923	137702
1407	53962	137665
1408	54000	137627
1409	54038	137587
1410	54074	137542
1411	54108	137493
1412	54140	137438
1413	54175	137392
1414	54210	137345
1415	54248	137306
1416	54285	137266
1417	54319	137216
1418	54358	137178
1419	54392	137130
1420	54428	137086
1421	54461	137034
1422	54494	136981
1423	54526	136929
1424	54558	136875
1425	54593	136827
1426	54625	136775
1427	54668	136748
1428	54713	136725
1429	54758	136705
1430	54806	136689
1431	54839	136639
1432	54873	136589
1433	54912	136554
1434	54953	136522
1435	54999	136503
1436	55037	136463
1437	55075	136423
1438	55108	136373
1439	55145	136331
1440	55186	136299
1441	55225	136262
1442	55272	136247
1443	55319	136229
1444	55362	136203
1445	55406	136179
1446	55448	136149
1447	55506	136158
1448	55548	136129
1449	55590	136100
1450	55638	136087
1451	55682	136060
1452	55716	136013
1453	55766	136003
1454	55819	135999
1455	55853	135950
1456	55901	135936
1457	55949	135921
1458	55986	135878
1459	56023	135837
1460	56069	135818
1461	56102	135767
1462	56143	135734
1463	56185	135705
1464	56232	135686
1465	56270	135648
1466	56304	135598
1467	56344	135564
1468	56390	135544
1469	56428	135506
1470	56465	135464
1471	56504	135425
1472	56538	135378
1473	56576	135338
1474	56618	135309
1475	56661	135281
1476	56697	135237
1477	56729	135182
1478	56766	135142
1479	56807	135109
1480	56847	135075
1481	56880	135023
1482	56918	134984
1483	56959	134951
1484	56995	134909
1485	57035	134874
1486	57075	134838
1487	57113	134799
1488	57157	134774
1489	57197	134740
1490	57238	134708
1491	57277	134672
1492	57324	134652
1493	57361	134611
1494	57401	134577
1495	57441	134543
1496	57481	134508
1497	57524	134480
1498	57562	134441
1499	57603	134409
1500	57645	134377
1501	57681	134333
1502	57713	134280
1503	57745	134228
1504	57789	134202
1505	57831	134172
1506	57865	134123
1507	57897	134069
1508	57932	134024
1509	57968	133979
1510	58009	133947
1511	58044	133901
1512	58078	133853
1513	58122	133827
1514	58158	133783
1515	58201	133756
1516	58234	133705
1517	58270	133660
1518	58304	133612
1519	58342	133573
1520	58378	133529
1521	58411	133478
1522	58444	133428
1523	58479	133381
1524	58520	133349
1525	58555	133304
1526	58601	133282
1527	58635	133233
1528	58668	133185
1529	58709	133150
1530	58750	133119
1531	58794	133093
1532	58831	133052
1533	58863	132999
1534	58914	132990
1535	58961	132971
1536	58998	132929
1537	59029	132873
1538	59062	132822
1539	59104	132793
1540	59146	132763
1541	59180	132713
1542	59224	132689
1543	59264	132655
1544	59300	132610
1545	59343	132582
1546	59376	132532
1547	59415	132494
1548	59453	132456
1549	59493	132421
1550	59531	132382
1551	59565	132334
1552	59608	132305
1553	59642	132257
